Опыт	Проба	Текст
8	6	НОИКА+КИМЯГ+ЯМИКАКИМЭВЖЖЭЯГЯМИКАКЛЕР
8	7	ПОИКА+КМЯГ+ЗЗГЯЭЖТ
8	8	ОИКА+КИМЯГ+ЯМИКАКИМЯГЯЭЖТ
8	9	НОИКА+КИММООМЭЖТ
8	10	ПОИКА+КИМЯГ+ЯМИКАКИМЯГЗУТ
8	11	НОИКА+КИМЯГ+ЯЭЖТ
8	12	ПОМЯГ+ЯМИКА+КИМЭЭМИИИКАКИМЭЖТ
8	13	НОИКА+КЛЛИМЭЖТ
8	14	НОМЯГ+ЗУТ
8	15	ОИКА+КИМЯГ+ЯЭЖТ
8	16	НОИКА+КИООМЭЖТ
8	17	НОИКА+КИМЯГ+ЯМИЛЕР
8	18	ПОМЯГ+ЯЭЭМООМЯГЯМИКА+КИМЭЖТ
8	19	НОИКА+КИМЭЖТ
8	20	НОМЯГ+ЯМИКА+КИООМЭЖТ
8	21	НОИКА+КИМЯГ+ЯЭВЖТ
8	22	НОИКА+КИМЯГ+ЗУТ
9	1	НОМЯГ+ЯМИКА+КИМЯГЯЭЖТ
9	2	НОМЯГЯЭЖЖВЖТ
9	3	НОИКАКИМЯГЯЭЖТ
9	4	НОИКАКИМЯГЗУТ
9	5	НОИКАКИМЯГЯЭЖТ
9	6	НОМЯГЯЯГЯЭЖТ
9	7	НОИКАКИМЯГЯМИКАКИООМЭЖТ
9	8	НОИККИМЯГЯЭЖТ
9	9	НОМЯГЯМИКАКИООМЯГЯЭЖТ
9	10	ОЯМГЗУТ
9	11	ОИКАКИМЯГЯЭЖТ
9	12	НОИКАКИМЯЯЭЖТ
9	13	НОИКАКИМЯГЯЭВЖТ
9	14	ОИКАКИМЯГЯЭЖТ
9	15	ОМЭЖТ
9	16	ОИКАКИМЯГЯЭЖТ
9	17	ОИКАКИМЯГЯЭЖТ
9	18	ОИКАКИМЭЖТ
9	19	ОИКАКИМЭЖТ
10	1	НОИКАКИМЯГЯЭЖУЗГЯМИКАКИМЯГЯЭЖТ
10	2	ОИКАКИМЯГЯЭЖТ
10	3	ОИКАКИМЯГЯМИКАКИМЯГЯЭЖТ
10	4	НОИКАКИМЯГЗУТ
10	5	НОИКАКИМЯГЗУТ
10	6	НОИКАКИМЯГЗУТ
10	7	НОИКАКИМЯГЗУТ
10	8	НОИКАКИМЯГЯЭЖТ
10	9	НОИКАКИМЯГЗУТ
10	10	НОИКАКИМЯГЗУТ
10	11	НОИКАКИМЯГЗУТ
10	12	НОИКАКИМЯГЯЭЖТ
10	13	НОИКАКИМЯГЗУТ
10	14	НОИКАКИМЯГЗУЖЖТ
10	15	НОМЯГЗУТ
10	16	НОИКАКИМЯГЗУТ
10	17	НОИКАКИМЯГЗУТ
10	18	НОИКАКИМЯГЗУТ
10	19	НОМЯГЗУТ
10	20	НОИКАКИМЯГЗУТ
10	21	НОИКАКИМЯГЯЭЖТ
10	22	ОИКАКИМЭЖТ
10	23	ОМЯГЯЭЖТ
10	24	ОМЯЯЭЖТ
10	25	ОИКАКИМЭЖТ
10	26	ОМЭЖТ
11	1	НОИКАКИМЯГЯМИКАКИМЭЖТ
11	2	НОИКАКИМЯГЗУТ
11	3	НОИКАКИМЯГЗУЖЭМИКАКИМЯГЯЭЖТУЗГЯМИКАКИМЯГЗУТ
11	4	НОИКАКИМЯГЗУТ
11	5	НОИКА КИМЯГЗУТ
11	6	НОИКАКИМЯГЯЭЖТ
11	7	НОИКАКИМЯГЯЭЖТ
11	8	НОИКАКИМЯГЯЭЖТ
11	9	НОИКАКИМЯГЗУТ
11	10	НОИКАКИМЯГЯЭЖТ
11	11	НОИКАКИМЯГЗУТ
11	12	НОИКАКИМЯГЗУТ
11	13	НОИКАКИМЯГЯЭЖТ
11	14	НОИККИМЯЯЭЖТ
11	15	НОИКАКИМЭЖТ
11	16	НОИКАКИМЯГЗУТ
11	17	НОИКАКИМЭЖТ
11	18	НОИКАКИМЯГЗУТ
11	19	НОИКАКИМЭЖТ
11	20	НОИКАКИМЭЖТ
11	21	ОИИМЭЖТ
11	22	ОИКАКИМЭЖТ
11	23	ОИКАКИМЭЖТ
11	24	ОИКАКИМЭЖТ
11	25	НОМЯГЯЭЖТ
11	26	НОИИМЭЖТ
11	27	НОИИККИМЭЖТ
12	1	НОИКАКИМЯГЗУТ
12	2	НОИКАКИМЯГЯМИКАКИМЯГЯЭЖТ
12	3	НОИКАКИМЯГЯЭЖТ
12	4	НОИКАКИМЯГЯЭЖТ
12	5	НОИКАКИМЯГЯЭЖТ
12	6	НОИКАКИМЯГЯЯЗУТ
12	7	НОИКАКИМЯГЗУТ
12	8	НОИКАКИМЯГЯЭЖТ
12	9	НОИКАКИМЭЖТ
12	10	ПОИКАКИМММЭЖТ
12	11	НОМЭЖТ
12	12	ПОИККИМЯЯЭЖТ
12	13	ОИКАКИМЯЯЭЖТ
12	14	НОМЯГЯЭЖТ
12	15	НОИЛЛИМЭЖТ
12	16	ПОИЛЛИМЭЖТ
12	17	ПОИЛЕР
12	18	ОИККИМЯГЯЭЖТ
12	19	ПОИККИМЭЖТ
13	1	ПОИККИМЯГЗУЖЖУЗЯМИККИМЭЖТ
13	2	НОИКАКИМЯГЯМИКАКИМЯГЗУТ
13	3	НОИКАКИМЯГЗУТ
13	4	НОИКАКИМЯГЗУТ
13	5	НОИКАКИМЯГЯЭЖТ
13	6	НОИКАКИМЯГЯМИКАДДКИМЭЖТ
13	7	НОММООИКАКИМЭЖТ
13	8	ХПОИКАКИМЯГЯМИКАКИМЭЖТ
13	9	ХПОИКАКИМЯГЯЭЖТ
13	10	НОИКАКИМЯГЗУТ
13	11	НОИКАКИМЯГЯЭЖТ
13	12	ПОИКАКИМЭЖТ
13	13	ХПОИМЭЖТ
13	14	ХПОИККИМЭЖТ
13	15	ПОИЛЕРРЕЛКАКИМЯГЯЭЖТ
13	16	ХПОИКАКИМЭЖТ
13	17	НОИКАКИМЭЖТ
13	18	НОИИМЭЖТ
13	19	ХПОМЭЖТ
13	20	ХПОИКАКИМЭЖТ
13	21	ХПОИКАКИМЯГЯЭЖТ
13	22	ОММИККИМЯЯМЭЖТ
13	23	ХПОМЭЖТ
13	24	ХПОИКАКИМЯЭЖТ
14	1	НОИКАКИМЯГЯМИКАКИМЯГЯМИКАКИМЯГЯЭЖТ
14	2	ХПОИКАКИМЯГЯМИКАКИМЯГЗУТ
14	3	ХПОМЯГЯМИКАКИМЯГЯМИКАКИМЯГЗУТ
14	4	ХПОИКАКИМЯГЯЭЖЖЭЯГЯМИКАКИМЯГЯЭЖТ
14	5	ОИКАКИМЯГЯЭЖТ
14	6	ОИКАКИМЯГЯМИКАКИМЯГЗУТ
14	7	ОИКАКИМЯГЗУТ
14	8	ОИКАКИМЯГЯМИКАКИМЯГЯЭЖТ
14	9	ОИКАКИМЯГЯМИКАКИМЭЖТ
14	10	ОИКАКИМЯГЯЭЖТ
14	11	ОИИМЯГЗУЖЖТ
14	12	ОИКАКИМЯГЗУТ
14	13	ОИКАКИМЭЖТ
14	14	ОИКАКИМЯГЯЭЖТ
14	15	ОИКАКИМЯГЯЭЖТ
14	16	ОИКАКИМЯГЯМИЛЕР
14	17	ОИКАКИМЯГЯМИКАКИМЯГЯЭЖТ
14	18	ОМЯЯЭВЖТ
15	1	ОМЯЗУТ
15	2	ОИККИМЭЖТ
15	3	ОМЯЗУТ
15	4	ОИКАКИМЯГЯМИЛЕР
15	5	ОИКАКИМЭЖТ
15	6	ОИКАКИМЭЖЖЭМИЛЕЕБЛКАКИМЭЖЖЭМИКАКИМЭЖТ
15	7	ОИКАКИМЭЖТ
15	8	ОИКАКИМЭЖТ
15	9	ОИКАКИМЭЖЖЭМИЛЕР
15	10	ОИКАКИИМИЛЛИМЭЖТ
15	11	ОМЯГЯМИКАКИМЭЖТ
15	12	ОИКАКИМЭЖТ
15	13	ОИКАКИМЭЖТ
15	14	ОИКАКИМЭЖТ
15	15	ОИККИМЯГЯЭЖТ
